,f0,q1,q3,iqr,spectral_centroid,f0_standard_deviation,label
4409,233.78076658720684,218.73289323986043,239.91170118635668,21.17880794649625,1663.8079675878812,20.980627481169527,female
4410,207.03809859495354,191.54987992634588,215.59786236774465,24.047982441398773,978.5208734398236,28.40810158944529,female
4411,192.84512221461608,183.93170582347207,195.99771799087463,12.066012167402562,1561.4027545249019,16.871640648956287,female
4412,198.55089248797114,184.9972113558172,210.06515286029162,25.06794150447442,1808.192492858473,18.5935680478924,female
4413,185.9425036808298,174.11126406550153,194.86885420251932,20.757590137017786,1387.1070730260665,26.65909797791397,female
4414,261.5402546863732,236.47509918506637,271.6385443440337,35.163445158967306,1046.1083464742721,37.53206702654742,female
4415,192.08401401360024,192.08401401360024,192.08401401360024,0.0,1812.5617136939845,9.035064625199345,female
4416,190.33783755757392,159.19961611844158,190.33783755757392,31.138221439132337,1653.7231309841968,51.74966213798138,female
4417,233.97113139302164,211.28204791122093,235.7901617579845,24.508113846763564,1773.9831418044862,34.82569962448244,female
4418,212.81610692147277,205.2672581380976,219.99999999999997,14.732741861902383,1314.5950849395151,8.747782161755902,female
4419,175.29285496565248,156.69125964324533,194.30928927921317,37.618029635967844,1588.2933001057525,23.099084544191655,female
4420,241.02974324522216,227.75828324510303,258.62053938239393,30.8622561372909,1658.7962696809645,25.835631996364214,female
4421,295.76199489516637,260.5019226463175,323.03450520678916,62.53258256047167,1767.0035458152756,55.65427391039154,female
4422,212.35353617183202,197.13312122062953,226.46160291012418,29.32848168949465,769.668962766162,21.714030234312943,female
4423,169.1957861638431,154.89150702410393,180.77186920887385,25.880362184769922,1018.6799348856875,18.852839822183846,female
4424,262.99219381020936,219.99999999999997,293.66966696307145,73.66966696307148,1103.1534855083682,65.41127817503465,female
4425,174.66172333969865,163.39262584750963,183.4387376328546,20.046111785344976,1040.1751671192926,14.529132980233573,female
4426,252.2431830532299,248.01453945002717,263.1411467822288,15.126607332201644,1418.3410641249072,15.397913248893792,female
4427,295.1688717998659,269.7021238799745,308.8896144975337,39.187490617559206,1301.5208244726941,33.81413187404088,female
4428,247.18476136599503,226.44649206156825,263.1411467822288,36.694654720660566,1488.1066014957073,39.93724971645665,female
4429,246.00491760942356,214.97519305553408,256.39906634714697,41.42387329161289,1261.0484872617608,46.06686940223586,female
4430,268.4264324545189,252.71363809934766,274.79254670812463,22.07890860877697,1783.456679700618,27.678492966534442,female
4431,220.52352141698276,203.20342337345198,234.43211035826653,31.228686984814544,1472.101413455828,31.10130788610469,female
4432,218.8480454642557,210.06515286029162,219.99999999999997,9.934847139708353,1032.3289983993873,17.59792939727182,female
4433,226.43457757079756,196.28156879831334,264.1651491656426,67.88358036732927,1958.7691908986387,36.67980209058917,female
4434,203.70199899649805,188.23090565017245,203.70199899649805,15.471093346325603,1217.8575186536912,25.798527019636655,female
4435,233.83662945292338,184.9972113558172,270.8517709358815,85.85455958006432,1745.0179032905562,62.61486596367693,female
4436,206.2332922898633,183.93170582347207,222.55627686642293,38.62457104295086,1287.3749355390237,31.603471396039584,female
4437,209.43689808570713,209.43689808570713,237.15608026942812,27.71918218372099,1706.4736471023325,51.87645964309256,female
4438,245.03351888502368,231.73942791006385,245.03351888502368,13.294090974959829,2157.223985424409,26.63369187685919,female
4439,204.7910419018054,194.86885420251932,210.36937662302395,15.500522420504637,1094.590885961604,13.392114689378,female
4440,234.4073793627889,210.06515286029162,244.45880573585669,34.39365287556507,1058.757465561048,37.4510282731381,female
4441,281.7831217813939,239.91170118635668,318.3992322368831,78.48753105052643,1558.0003776067608,63.23559358200399,female
4442,286.4918025205911,277.1826309768721,292.8190756159462,15.636444639074114,1608.4955503472868,16.4425380760392,female
4443,349.76770298782174,297.0769881570017,383.04224785029453,85.96525969329281,2075.209817556495,59.11719881032737,female
4444,174.46096819851977,141.01384901128017,198.27510177438265,57.261252763102476,1306.3820619550238,31.52575882831248,female
4445,267.26063716536754,238.52991146631203,292.8215110305648,54.29159956425278,2266.5595951782902,38.50760765518287,female
4446,180.09925436040717,170.6259238017108,181.2954696014002,10.669545799689416,1677.412659058143,17.110294112908026,female
4447,239.1968191858965,223.20090456450697,252.71363809934766,29.51273353484069,1661.3693823009842,21.788328435587253,female
4448,218.64880929261878,205.2672581380976,225.46831519485994,20.20105705676235,1381.464769829649,22.13000061907443,female
4449,191.60024998849752,178.6955271983718,191.60024998849752,12.904722790125732,1623.0591299470293,27.0133122756093,female
4450,288.28066036070356,241.65095686861932,335.38934511626763,93.73838824764832,1522.109521400148,61.46805672339456,female
4451,299.1405344446701,270.8517709358815,333.4576446322876,62.60587369640609,1300.3104349805303,43.981329835698844,female
4452,83.37484725903212,83.37484725903212,83.37484725903212,0.0,1390.6955601419993,4.7657388675596595,female
4453,292.97854607682973,266.9719696029393,332.5001227024332,65.52815309949392,1511.6694580554508,41.658417699367035,female
4454,197.54256294838416,188.23090565017245,205.86180870287455,17.63090305270211,1216.9764831152813,17.2711611367552,female
